id,tweet,time,description
1299406448280113152,RT @PuneTimesOnline: #BiggBoss13 winner @sidharth_shukla has come out in support of an acid attack survivor amidst the ongoing lockdown. Th…,2020-08-28 18:00:13,"admirer of  #Imrankhan #SidharthShukla 
#Salmankhan #Fawadkhan #Cristianoronaldo"
1299406419293241347,Its over 🔴 https://t.co/yEeVeEhujp,2020-08-28 18:00:06,"what a man can be, he must be, this need we call self actualization 💚 #fitness #cork  #peace ❤ horse racing nut 🙂 fitness instructor🚶‍♂️🍰 32 🇮🇪"
1299406461857128448,RT @RepJayapal: Nobody would be losing their health care if we had Medicare for All.,2020-08-28 18:00:16,He/him. 21. Currently in Greensboro
1299406620481302529,RT @8NewsNow: ANOTHER CASE: UNLV is reporting a third positive case of COVID-19 since the university started its fall semester on Monday. #…,2020-08-28 18:00:54,💻 Tech & Blockchain 🔗 #UnbankYourself 🦅 #1stAmendment #2ndAmendment #YangGang #HumanityFirst 🇺🇲 $BTC $LTC $pocketminer ♎
1299406960106692608,Talk about not caring about the American people… Here is a prime example of that said out loud. Dear God help us al… https://t.co/UZvqAZ8sfx,2020-08-28 18:02:15,"I'm all about direct, respectful, honest communication. It's all about lifting each other up."
1299407266735681538,RT @NicoSchira: #ASRoma winger Justin #Kluivert has tested positive for coronavirus. #COVID19,2020-08-28 18:03:28,I AM A YOUNG COMEDIAN/MC .. A Football ADDICT. #TEAM ARSENAL#
1299406847640825862,"(Since corona pandemic) ... ""employees have been attending more meetings—by video conference, rather than in person… https://t.co/KigiYDKbgn",2020-08-28 18:01:48,Author | Speaker | Tech | Artificial intelligence | Synthetic Media | @LTTFNL podcast | Deepfake | Exploring frontier technology | Technology Philosopher
1299406885796413440,RT @SebastianDanzig: On my morning run some lady ran past me who was so Covid scared that she covered her face mask with her hands and almo…,2020-08-28 18:01:58,“....𝐀 𝐬𝐢𝐧𝐠𝐥𝐞 𝐧𝐢𝐠𝐡𝐭 𝐰𝐢𝐭𝐡𝐨𝐮𝐭 𝐚 𝐠𝐡𝐨𝐬𝐭 𝐢𝐧 𝐭𝐡𝐞 𝐰𝐚𝐥𝐥𝐬” @superdeadbrooke 🖤 she/her 🖤 16🖤
1299406865726668805,"RT @ScienceBritain: How ironic:
Just months after ludicrous talk of medicine embargoes against the UK, the EU now admits it depends on Brit…",2020-08-28 18:01:53,
1299406968604549120,"RT @TarynCherie: I’m 6 closings away from being considered a top producing agent in Atlanta, GA for 2020. All it takes is a simple RT and m…",2020-08-28 18:02:17,OH✈️ATL. | Matthew 23:12 |SC: Prim3time | GSU
1299407082567938058,"Whenever ppl brag about being COVID snitches, they’re really admitting that they have no social life. Sad!",2020-08-28 18:02:44,"Life, liberty, and laissez les bons temps rouler!"
1299407099697541121,@PatoharaPat When did I say he looked good in the picture?  I was very critical of Rooney when last season resumed… https://t.co/oNFEvojOQG,2020-08-28 18:02:49,All views are 100% my own!!
1299406662613123072,RT @NicolaCareem: India is now the epicentre of the coronavirus outbreak.  It's number 1 in the world for new cases - with almost a third o…,2020-08-28 18:01:04,a kid lookinat d moon❤🎶
1299406835884138499,"Long-term care, social gatherings make up 42% of Michigan's COVID outbreaks - Aug 28 @ 2:00 PM ET https://t.co/TUrpUI5yMr",2020-08-28 18:01:46,The Fastest Crime News Updates on the Planet!
