id,tweet,time,description
1300478525644976129,RT @eugenegu: Herman Cain got the coronavirus after attending Trump’s indoor Tulsa rally without wearing a mask nor social distancing. Then…,2020-08-31 17:00:16,"#VoteBlue #VoteBlueToEndThisNightmare 
#GoJoe"
1300478755379449857,@chilly_willy_jr I was working in a grocery store when the whole Covid-19 shot down started. I got lots of apprecia… https://t.co/f61gLoamWx,2020-08-31 17:01:11,"Book/movie/ice cream lover, passionate amateur photographer with a broken camera."
1300478571157184512,"RT @TheEconomist: Donald Trump is losing the support of older voters, who are horrified by the now-exploding spread of covid-19 https://t.c…",2020-08-31 17:00:27,
1300478529214111745,"RT @VidyaSanatani: Why do hindus blame foreign #TablighiJamaat when we have locals flouting Pandemic related Government rules.

Very Respon…",2020-08-31 17:00:17,"Waiting for job,qualifications MA Sanskrit MA Hindi 7 years of teaching experience."
1300478551360114688,RT @paulkrugman: 2 million dead? Scott Atlas shrugged,2020-08-31 17:00:23,Not a shrinking violet. #Resist.
1300478768763600900,RT @angie_rasmussen: This is a harbinger of the worst-case public health scenario we've all been afraid of. It is extremely unlikely we'll…,2020-08-31 17:01:14,
1300478760941228034,"RT @TiceRichard: I stand in solidarity with Piers Corbyn here, this was political protest &amp; huge fine is brutal attack on freedom of speech…",2020-08-31 17:01:12,"Dr. Al-Daini - Retired University Engineering lecturer, British citizen born in Iraq."
1300478801567195137,"@DemNevada Saying:
#COVID19  is a hoax!
@CNN , fake news!
There are billions of billions...!
I don’t like that !
Th… https://t.co/hJZb6IBrFp",2020-08-31 17:01:22,“Be the change that you wish to see in the world “
1300478529151397895,@courtlizcamp I've lived in the countryside before. It ain't easy and plus the place I lived in had a serious opioi… https://t.co/LninhicPSV,2020-08-31 17:00:17,"Former reporter, current existential crisis manager and occasional shit poster."
1300478621333815299,"@ChumJetzeAnyone Yeah I think Novak said he was asymptomatic too, but admitted he struggled with energy post covid.",2020-08-31 17:00:39,"I don't have low self-esteem. I have low esteem for everyone else.

(icon by @Joelle_Jones)"
1300478984082329601,"RT @lois0112: COVID has killed 570K people in the world and you're still alive, just use 10 seconds to thank GOD",2020-08-31 17:02:06,
1300479171391614976,To stay at home,2020-08-31 17:02:50,A bot designed by Clayton Stasenko to post lyrics // works from a different artist every other month. December-January: New Order
1300478442379644930,RT @fred_guttenberg: WHAT THE FUCK!!!  LET ME TRANSLATE.  HERD IMMUNITY IN THE UNITED STATES MEANS MILLIONS WILL DIE.,2020-08-31 16:59:57,"Wife, mom, Ob/gyn! Minnesota Twins and Vikings and Gophers fan!"
1300478769619058694,Science and technology are the most powerful weapon in humanity's battle against diseases. Mankind cannot defeat a… https://t.co/SqeAi7Vd4C,2020-08-31 17:01:15,Communist Party of China🇨🇳
