id,tweet,time,description
1299588290383761409,RT @tombellforever: Woke up a slight sore throat so thought I'd do the right thing &amp; get a Covid test. Official https://t.co/E10xnwZVjr web…,2020-08-29 06:02:48,"Loves family, Pompey, being by the sea, all kinds of craft and design, watching sport, Ireland, social justice, WASPI, pro-Jewish, pro-Palestinian, pro-BLM"
1299588126470541312,"RT @HighWireTalk: Civil unrest continues to grow across the world as hundreds of thousands of people rally against lockdown measures, masks…",2020-08-29 06:02:09,The more i learn the freakier it gets -
1299588422949101568,"@Theophite @AriFleischer And they're probably spreading COVID virus.

But appearances are all that matter to Ari.",2020-08-29 06:03:19,"Follow me for #infosec, Qubes OS, Linux, open source hardware, voting & privacy issues.
https://t.co/2ewPfZbi2I
https://t.co/82VTgNytvF"
1299587898510061568,RT @duty2warn: Live events. With no masks. No social distancing. Lots of yelling and ejecting of spittle when they do. Everyone shaking han…,2020-08-29 06:01:14,Waddling proudly where no duck went before
1299587892323536896,RT @JillWineBanks: No masks and chairs touching at White House. When will Republicans learn that superspreader events lead to deaths? Trump…,2020-08-29 06:01:13,"I like to laugh in life & make the best of things.Birth sign:libra. I like artwork,music,taking photos,books,movies.I believe in human rights & animal rights."
1299587689629450240,"RT @kanganaRanaut99: Social Distancing who?? 
Scene from NATA exam today at Nagpur 

@DrRPNishank Correct? 

#PostponeJEEAndNEET #PostponeE…",2020-08-29 06:00:25,"BELIEVER, Nature Lover,Activist"
1299587909201195009,RT @JeromeFosterII: Our movement is strongest when we are together! Today was an excellent display of how our generation can come together…,2020-08-29 06:01:17,
1299587699406299136,"JEE/NEET Exams should must be postpone 😔😔
We are not able to give exams during this pandemic( corona virus)🙏🙏
Coron… https://t.co/b1tsqEiTv4",2020-08-29 06:00:27,suffering from success
1299588498102640640,@undeadscribe Coronavirus is a fascist hoax,2020-08-29 06:03:37,Bi | Libertarian-Republican | ☯️ | 🇺🇸 | Film lover | Avid D&D player | Story writer
1299588524598067200,RT @WhiteHouse: THANK YOU to those fighting the pandemic on the front lines in New Hampshire! https://t.co/ldhrtuSPaa,2020-08-29 06:03:44,
1299588259459203072,RT @_aaronhilll: They would’ve been taken care of COVID https://t.co/Aw8ofzA49v,2020-08-29 06:02:40,"I side-eye, therefore I am"
1299587577914122240,@KMPHFOX26 She should just wear a mask,2020-08-29 05:59:58,"(Title of nobility, unproven & indisputable) 
Believer. Wife. Mama of 5.
Follow me for comic relief in the midst of chaos."
1299588321694212096,"RT @EduMinOfIndia: As per the Hon'ble Supreme Court, the state governments will not be allowed to promote students without holding final ye…",2020-08-29 06:02:55,Looking for stability... ☺️
1299588051010686976,RT @_aaronhilll: They would’ve been taken care of COVID https://t.co/Aw8ofzA49v,2020-08-29 06:01:51,u clown
1299587892327702529,"RT @Meatfighterr: If you feel the need to take a break from social media, you should. Consuming all of this news in the middle of a pandemi…",2020-08-29 06:01:13,"https://t.co/6dCendBWUb ||| ""This is not the end, It is not even the beginning of the end. But it is, perhaps, the end of the beginning.” ~ WC"
1299588472085372930,"RT @CamEdFac: Don't miss this fantastic series of free seminars from our @PEDALCam Research Centre, examining the nature, role and impact o…",2020-08-29 06:03:31,I am curious... Researching counterfactual reasoning through the lens of child cognitive and development psychology.
1299588478569594880,"RT @pradeepkr05: By These Two Pictures You Will Clearly Understand that Why 
@DrRPNishank
aren't Postponing JEE-NEET Exam in COVID !
@anubh…",2020-08-29 06:03:33,
1299588222180237315,"#MoratoriumExtension Indian Government, People Are Suffering Just Because Of Your Lockdown, Instead Of Helping Peop… https://t.co/bdttTxoVTJ",2020-08-29 06:02:32,"Philanthropist |Guitarist |Blockchain Developer | Trustee, Treasurer And Data Security Consultant At @Savethemindia"
1299587661150158851,"RT @bopinion: If Covid-19 is a test of government effectiveness, then the world’s most powerful country has failed spectacularly.

180,000…",2020-08-29 06:00:18,US news and politics junkie from the UK 🇬🇧🇺🇸 Overseas #resister. #NHS 💙
1299588513885827078,@peterdaou all of this has been building up under everyone's noses. The pandemic was what caused the first domino to fall over.,2020-08-29 06:03:41,"Trans lesbian in love with trains, maps, skyscrapers, animation, cinematography and baseball

#BlackLivesMatter
#BlackTransLivesMatter
#AlwaysProud

she/they 18"
1299587933989515265,RT @_aaronhilll: They would’ve been taken care of COVID https://t.co/Aw8ofzA49v,2020-08-29 06:01:23,yolo
1299588418012213249,"RT @Student4lifetym: Listen @narendramodi ji, 

We are Demanding Postponement due to Worst scenerio of COVID INFECTIONS in the country!
#Po…",2020-08-29 06:03:18,civil services aspirant...
1299588439176749056,"RT @BJP4India: Old and unrelated pictures of students slitting their wrists!

COVID report from Lahore!

Pictures of flood in the past pass…",2020-08-29 06:03:23,"राह संघर्ष की जो चलता है,
वो ही संसार को बदलता है l
261-शहर पश्चिमी विधानसभा, प्रयागराज

#NationFirst"
1299588448651804675,"RT @LISTEN_NEW_YORK: Coronavirus pandemic: Children aged 12 and over should wear masks - WHO

The World Health Organization (W.H.O.) cautio…",2020-08-29 06:03:26,
1299587613263888386,Morning one and all Remember #stayhome #staysafe #protectthenhs #savealife,2020-08-29 06:00:06,Full time husband.Proud OU Graduate and teacher trying to change my corner of the world for the common good. Though teaching for a social purpose.Newbie cyclist
1299588268468690944,"Can't trust the mail.
Can't trust the CDC.
Can't trust voting machines.
Only difference between us and Soviet Russi… https://t.co/wdwLDhSsAG",2020-08-29 06:02:43,"Stay vigilant Resisters, and let's continue fighting the good fight on behalf of America. Won the House, POTUS and Senate. Now let's get the bad guys cuffed."
1299588359182905347,RT @PeteSouza: Disgraceful https://t.co/XewxvnQbNZ,2020-08-29 06:03:04,"#BuildBackBetter
(No DM)"
1299587992047300608,"RT @Imani_Barbarin: I know everyone is talking about a lack of ability to mourn because of COVID, but I want to note another aspect. 

Beca…",2020-08-29 06:01:37,"#ActuallyAutistic, Norwegian, looking up random facts online. They (hen), ok with most pronouns.

Grytelokgjeng.

To be pro neurodiversity is to be anti racist."
1299588361565409280,RT @joncstone: the narrative has pivoted overnight from ‘it’s your fault you can’t afford a house because you spend all your money on Pret’…,2020-08-29 06:03:05,coherent unfocused
1299588331424985088,"RT @AISA_tweets: Only if this Country was concerned with Jobs, Health &amp; Education as much as they are concerned with the tragedy of SSR.…",2020-08-29 06:02:58,
1299588235425968128,"RT @NPR: A Kansas teacher created a database after she couldn't find a cohesive picture of how COVID-19 was spreading in schools.

Now main…",2020-08-29 06:02:35,Science Educator. Cincinnati. I'm interested in anything that is interesting.  Check out my blog at https://t.co/NijMm3uGkW
1299587857451941888,"RT @LicypriyaK: I think you all prepared for the exam for the last 2 years. And there is long lockdown since March.

Now Student’s problem…",2020-08-29 06:01:05,
1299587886761652226,"RT @JeromeFosterII: At the @UN Headquarters, holding a climate strike to urge the United Nations to protect and support the young people of…",2020-08-29 06:01:12,
1299587808001028097,"@DrTedros 
Plz help us sir
Save 27 lakh students https://t.co/0OFatxojcg",2020-08-29 06:00:53,
1299588108065751040,"RT @geetv79: 64% drop in child immunisation
50% drop in BCG vaccinations 
39% drop in oral polio drops

Govt's National Health Mission data…",2020-08-29 06:02:04,
1299587890985406464,"RT @Jason: If you want to know how bad San Francisco's reputation now is, @Pinterest is paying ~$90m to cancel their new HQ lease

Thousand…",2020-08-29 06:01:13,
1299587886862409728,@azardsphere @Jacquifelgate @7NewsMelbourne The lockdown is working. under 100 new cases today. Well done @DanielAndrewsMP,2020-08-29 06:01:12,Left leaning tree hugging Greenie
1299588087463309315,"RT @JeromeFosterII: At the @UN Headquarters, holding a climate strike to urge the United Nations to protect and support the young people of…",2020-08-29 06:01:59,Just a jee aspirant
1299587642905030656,"RT @seangreene89: Here's where California's coronavirus numbers stand as of Friday night:

Today:
+5,425 cases
+144 deaths

To date:
698,22…",2020-08-29 06:00:13,A 🤖 curating news that keeps you informed without getting you down
1299588215469346816,I wonder if freedom of press means violation of various time demanding necessities such as social distancing n wear… https://t.co/MdUjHT0HJ2,2020-08-29 06:02:30,"lazy, curious, travel lover, retweets are not endorsements. A student of Law at Symbiosis international university."
1299588263372447745,RT @VenkatBalmoor: The doctor clearly instructed #VenkatBalmoor ji to stop this hunger strike at once as his health was constantly deterior…,2020-08-29 06:02:41,pretend to be happy
1299587627616624640,"RT @timesofindia: .@rajasthanroyals' fielding coach @Dishantyagnik77 recovers from #COVID19, joins team in Dubai 

Read: https://t.co/y9bGr…",2020-08-29 06:00:10,
1299588260587384832,"RT @VISHALPANARA7: JEE-NEET is neither about ego nor about politics. It's about students' future. 

If million students are saying they nee…",2020-08-29 06:02:41,
1299587567315161090,RT @Kanchan73024136: @EduMinOfIndia Bht request kr lia hmne.reality is U ppl dnn care abt students lyf.or faltu natak krna bnd kr ki year l…,2020-08-29 05:59:55,
1299587698848653313,Food hygiene inspectors returning to businesses after months of lockdown https://t.co/flPVxRJ2NG,2020-08-29 06:00:27,EIN Presswire is Everyone's Internet News Presswire™. We make issuing and distributing press releases easy and affordable.
1299588304036392960,RT @JohnEdwards33: We haven’t been short of vicious and vindictive Home Secretary’s over the last 100-years but the current one must surely…,2020-08-29 06:02:51,"Retired teacher. First Labour councillor elected in Southport since 1974. Angry about Tory lies, MSM smears and Ian Mcnicol and co."
1299588706953605120,"Children can carry coronavirus in their noses and throats for weeks even if they don't show any symptoms, which mig… https://t.co/0BdULluUkO",2020-08-29 06:04:27,Retired Pilot & now Disabled [by Stroke & Dysphasia] David Tweets. Wife Jade is my full time Carer👍
1299589282441474049,"RT @_Vikrant_005: Please note that,
Govt. can spend ₹8458 Cr for new plane to our PM Modi in this Covid Crisis but,
they are skeptical abou…",2020-08-29 06:06:44,
1299588612405616641,"RT @Amanrajbettiah: Chronology 👇
1. On 5th March Dr. Harshvardhan said , There is no need to panic Rahul Gandhi is demoralising the country…",2020-08-29 06:04:05,mr. perfectionist
1299589316037894144,@WHO @doctorsoumya Please do something write a letter to India's Prime minister @narendramodi and president… https://t.co/wVZuo4DSga,2020-08-29 06:06:52,I'm a NEET aspirant. Demanding postponment.
1299588870569226246,"RT @Sandeep_Saurav_: Chief Minsters must listen to the students and stand with students!
CMs should stand against exams in Covid !!

Enough…",2020-08-29 06:05:06,
1299588601567735808,Important thoughts and background on accessibility to #covid19 #vaccine Here’s how the U.S. could release a COVID-1… https://t.co/YSsmoYW55w,2020-08-29 06:04:02,CSO @Themis_bio #vaccineswork #vaccine #chikungunya
1299589246806786049,@vicky_dollysmom FYI several secret service agents are battling or sidelined from COVID as a result of  protecting… https://t.co/DRcHX2nXj4,2020-08-29 06:06:36,"Texan, American, Lobbyist, former Republican & titled Anglophile disgusted with GOP government. I have survived the suburbs, British aristocracy & the PTA"
1299589011829211139,"@1998Srikrishna Where have u left your brain? He is leaving for personal reasons, nothing to do with corona.",2020-08-29 06:05:40,
1299588903112908802,"RT @_Vikrant_005: Please note that,
Govt. can spend ₹8458 Cr for new plane to our PM Modi in this Covid Crisis but,
they are skeptical abou…",2020-08-29 06:05:14,
1299588940882563072,RT @latha_venkatesh: The toll of a thoughtless lockdown,2020-08-29 06:05:23,
1299588859714437120,@patbram Due dates are extended and interest rate reduced to taxable persons during Covid It is not dubbed a crimin… https://t.co/9M3lkBmBb2,2020-08-29 06:05:04,
1299588951355744256,"RT @Ersbosh33: Chief Minsters must listen to the students and stand with students!
CMs should stand against exams in Covid।।

Enough is Eno…",2020-08-29 06:05:25,
1299588860670861312,"RT @XHNews: Chinese mainland reports 9 new imported #COVID19 cases, no new locally-transmitted cases https://t.co/CNf9TC0jgp https://t.co/7…",2020-08-29 06:05:04,Software Engineer
1299588850591780870,"RT @geetv79: 64% drop in child immunisation
50% drop in BCG vaccinations 
39% drop in oral polio drops

Govt's National Health Mission data…",2020-08-29 06:05:01,*****************
1299588978325086210,"RT @ddale8: Pence accuses Biden of being a ""cheerleader for communist China.""

Here is a list of some of the times Trump has praised commun…",2020-08-29 06:05:32,Recovering geek. Gardening addict. #RadicalMiddle. I still like Coke. Happily taken. Views my own. Deion Sanders/Richard Sherman stan account.
1299589000978509824,"RT @AdvRamSingh3: #PostponeExams_Or_ResignModi
#PostponeJEEAndNEET 
Important : Students please send mails to @UN to postpone #NEETJEE .Tel…",2020-08-29 06:05:37,BIO/NEET ASPRINT
1299589410724425729,"RT @ASStheticmavi: y'all want philippines to be covid free, but continue to go out, and chill with friends, attend to unnecessary galas, or…",2020-08-29 06:07:15,cultivate observation
1299588935085993987,RT @taengab: taeyeon: honestly it’s so sad that there aren’t that many opportunities for us to meet. of course it can be said that it’s goo…,2020-08-29 06:05:21,No TY No Life. 309 Resonates in my ❤️
1299589342743212033,RT @ncheks2005: I know there is #Covid19 in Nigeria but these are the viruses that is threatening the lives of ndigbo.👇👇 https://t.co/9wzS7…,2020-08-29 06:06:59,
1299588883877777409,RT @ABC7: Nevada officials report what may be first documented case of #coronavirus reinfection in the U.S. https://t.co/AyXXigcfP3,2020-08-29 06:05:09,Rebel with a cause 📱 Bernie 2016 digital grassroots Team☕️
