id,tweet,time,description
1299225293052411904,"RT @Graz_Jakomini: Today it was announced that COVID-19 cases had risen over the last 24hours by about 50%, from 1,000 to 1,500 &amp; all the M…",2020-08-28 06:00:22,"Writer and reader, poet and planter, pencil mad scribbler, land, bird and dog loving Mummy and Nanny."
1299225473721995267,"@sulaiman99_ You must do ,dw when we go you can stay at home",2020-08-28 06:01:06,"no I don’t want to go out,no I don’t want a man  @thehairstop_"
1299225434454814720,"RT @ANI: Supreme Court upholds the University Grants Commission's July 6 circular to hold University final year exams.

Court says States m…",2020-08-28 06:00:56,"MBA graduate, working in secure printing industry"
1299225294201651200,RT @Swamy39: I am reliably informed that FM N. Sitharaman told a meeting that COVID-19 is an act God!! I will post the video soon. Was the…,2020-08-28 06:00:23,Just keeping it simple.......
1299225308923486211,"RT @danharris: Did Canada really trust China to come through when it mattered? I mean, seriously? 

https://t.co/cCo7LgLATj",2020-08-28 06:00:26,
1299225520631029760,"RT @iamsatwantyadav: This is not only the matter of jee and neet exam during this pandemic .. 
 UPSE  CLAT BHU DU ALL OTHER EXAMS INCLUDING…",2020-08-28 06:01:17,student
1299225687061037056,RT @TheRickWilson: I can’t even.,2020-08-28 06:01:56,
1299225426078740483,RT @HitenPithadiya: When 500 Covid19 cases were there Government postponed all the exams. Now COVID19 cases cross 3 millions and Government…,2020-08-28 06:00:54,
1299225435163766787,These companies have a need for new workers due to COVID-19 and are ramping up their hiring efforts.… https://t.co/yWvVwWOimd,2020-08-28 06:00:56,"Monster, with its cutting-edge technology provides relevant profiles to employers & relevant jobs to jobseekers across industries and experience levels."
1299225289965223936,"RT @AngrierWHStaff: 1. Trump built 5 miles of new wall. The rest is renovation

2. Mexico didn’t pay for shit

3. The USMCA is just NAFTA w…",2020-08-28 06:00:22,"Mom, wife, friend, disaster preparedness instructor, resister"
1299225239767851009,"RT @Indiratweets: Kau Tonga, fakamolemole atu - please share and retweet to raise awareness in our community 🙏 🇹🇴🌺 #MaskUp @TheCoconetTV @t…",2020-08-28 06:00:10,
1299225533054464000,"RT @CMOPb: In the recent live session of Dr. KK Talwar, someone had asked him if #COVID19 was airborne? Dr. Talwar revealed the reality beh…",2020-08-28 06:01:20,NSUI PRESIDENT DISTRICT GURDASPUR CVS PRESIDENT QADIAN BATALA PRESIDENT SHAEED BHAGAT YOUTH CLUB QADIAN CHAIRMAN ANTINARCOTIC CELL PPC DISTRICT GSP
1299225587500736513,"RT @nidhiindiatv: Loans, no ration, exam center hours away, can't afford private car charges, father sole earner, COVID risk - Student dema…",2020-08-28 06:01:33,"Still a teenager. 
Want to do something really worthy for the society. 
Just too imaginary..."
1299225864152862721,RT @Shreyatweets02: If states can invoke DMA then what’s the need to go to court. The states have liberty to not hold the exams by invoking…,2020-08-28 06:02:39,
1299225862588362752,"RT @DrHarish_Joshi: Number of Covid recoveries goes past 25 lakh in India: Health ministry
https://t.co/n0TrTqBi2i via NaMo App https://t.c…",2020-08-28 06:02:38,"A Software Specialist,Spiritual Healer, believes in Humanity,Nationality, Religion Sanathan Dharam is eternal."
1299225603585925125,RT @Oneindia: COVID-19 can affect all organs say experts  https://t.co/cpaujzMpli #Coronavirus,2020-08-28 06:01:36,
1299225176924516352,RT @__gaciria: BTS LOCKDOWN WEEK 2 https://t.co/KcD0AiSauV,2020-08-28 05:59:55,...not so perfect but so beautiful
1299225388577689601,"RT @OlawuO: You’d never know wat God has been saving you from that you had no idea ,
-he’s no audio God
-he’s no audio Giveaways God
He dec…",2020-08-28 06:00:45,God First | Manchester United | Lazy Nigerian Youth | 30BG
1299225788831559680,"RT @Neerajkundan: One side govt. is not declaring SSC final result and merit list even for 2018 exam.
Excuse :- covid
Other side they are f…",2020-08-28 06:02:21,
1299225859551760385,"RT @vrunavb: @JoshiPralhad @CoalIndiaHQ Vacancy of MCL Dec2018 whose joining has not been completed till now &amp; during the time of Covid-19,…",2020-08-28 06:02:38,🕉️🇮🇳🇮🇳🇮🇳🕉️
1299225686515675136,RT @SyedHazeena: Even 8 Year old girl understands that Govt must postpone #JEE_NEET Exams but not sure why Govt is not able to understand t…,2020-08-28 06:01:56,colours
1299225247636316162,RT @GGUKSEOKZ: FOCUSE 👏🏼👏🏼 ON 👏🏼👏🏼 STREAMING 👏🏼👏🏼 DYNAMITE 👏🏼👏🏼 WE'RE👏🏼👏🏼 ON 👏🏼👏🏼 BTS 👏🏼👏🏼 LOCKDOWN 👏🏼👏🏼!!!,2020-08-28 06:00:12,คลั่งรักจองกุก
1299225327730917376,RT @Petewarrington: @piersmorgan How many suicides do you think your accountable for with your constant negativity and looking for the wors…,2020-08-28 06:00:31,"After working in Hong Kong, followed by a period working on a national newspaper- I've now returned to EFL teaching. Passionate about travel & reading ."
1299225788118491137,RT @Oneindia: COVID-19 can affect all organs say experts  https://t.co/cpaujzMpli #Coronavirus,2020-08-28 06:02:20,Medico
1299225179554488326,"RT @piersmorgan: I think it might be easier if all those who've deluded themselves into thinking the pandemic is 'over' to unfollow me. 
Th…",2020-08-28 05:59:55,Funeral Director
