id,tweet,time,description
1240458663376162818,Just a lil humor in these tryin times!!! #COVID19 https://t.co/CADtHKC934,2020-03-19 02:02:46,Facetious...fat....feisty...fanfrickintastic.  $kateyliciousluv 💕💖💯
1240458248609763329,"RT @alessabocchi: I was sent this video from Bergamo, Italy. The military has been asked to transport dead bodies and coffins because there…",2020-03-19 02:01:07,☦️🟨 𝐂𝐨𝐫𝐫𝐞𝐜𝐭𝐨𝐫 𝐓𝐨𝐭𝐢𝐮𝐬 𝐎𝐫𝐢𝐞𝐧𝐭𝐢𝐬 🇱🇧🇨🇦 history. geopol. levant. byz bro. napol wars. maps. avgeek. galilean. flâneur. roman imperium.
1240458391044214786,"RT @MNateShyamalan: “i can’t go because of coronavirus” 
- whiny
- boring
- weak 

“i’ve sworn an oath of solitude til the blight is purged…",2020-03-19 02:01:41,"best skeleton killer in the galaxy, i stream at times, @semente was taken

call me the plant (en/pt-br)
eight       een and arts somtime"
1240458474712072193,@MarchandMusic @mkraju @BernieSanders @senatorsanders Was totally appropriate https://t.co/3XhvlmXf28,2020-03-19 02:02:01,"thumb wrestler in the super battle to end all super battles, to fix the US healthcare system."
1240458835560558592,"RT @antil_seema: #GodMorningWednesday
True worship can cure all deadly Disease Cancer, Corona Virus , AIDS etc. 
Wuhan Virus
China Virus
De…",2020-03-19 02:03:27,sat saheb ji
1240458151826051073,"RT @JuddLegum: This will go down as one of the biggest failures by a president and an administration in history 

The spring breakers in Mi…",2020-03-19 02:00:44,"Hello!  Devoted & disabled RN, BSN, MSW, MAT, who has redefined my career as Activist & Advocate. RTs don't = endorsements! Shalom!"
1240458194125819906,RT @YouLoveeeCiani: If you went to Miami for spring break don’t come near me lmao.,2020-03-19 02:00:54,"For the soul to live, a vessel has to be created🦁 🌻"
1240457971513151488,"Something far worse is coming. Check this out.. #coronavirus

https://t.co/7jVEcvmEvt",2020-03-19 02:00:01,"Bowler, Mixed Martial Artist, Fitness Fanatic. #KAG #America"
1240458663589969921,"RT @packers: Together we can stop the spread of COVID-19. 

A message from #Packers Head Coach Matt LaFleur. 

More information: https://t.…",2020-03-19 02:02:46,
1240458756217061377,"RT @danajaybein: I've lost my mind.

I wrote Coronavirus Rhapsody:

Is this a sore throat?
Is this just allergies?
Caught in a lockdown
No…",2020-03-19 02:03:08,Head of Gaming Platforms & Sales Executive @IMSCorp
1240458567364292608,"RT @doctor_oxford: So society’s  *real* key workers have just been revealed. 

Not the bankers. Not the traders. Not the elite hedge fund m…",2020-03-19 02:02:23,Strategic Communicator & Unapologetic Advocate. Comms Director @RepMGS/@marygayscanlon. @Emerge_PA Board Member. @Penn_State Alum. NEPA Native. Views my own.
