id,tweet,time,description
1234634009222799360,RT @minakimes: me and my fellow nail biters reading these articles about covid-19 https://t.co/bvKkZR6Luw,2020-03-03 00:17:40,"Texas Tech, Liverpool FC, Mavs, Cowboys, and Metal"
1234634286604546048,"RT @BNODesk: NEW: China's National Health Commission reports 125 new cases of coronavirus and 31 new deaths, nearly all in Hubei province h…",2020-03-03 00:18:46,"Father, husband, RN, CPT.Campbell, CA native."
1234634616612491266,"RT @d1rtydan: 1/
McCarthy, a staff physician at NY Presbyterian Hospital, says he still does not have access to test kits.

“I’m here to te…",2020-03-03 00:20:05,
1234634392833871873,Amen!! https://t.co/vCG0r3RBy2,2020-03-03 00:19:12,"Mad Scientist, the other kind of doctor, parent who is definitely winging it, nature lover, owner of a silly dog and two disdainful cats, Queen of Sarcasm"
1234634290262159360,"RT @ruqaiijah: They mention child care workers, but miss the fact that many home health care workers serving the elderly and those working…",2020-03-03 00:18:47,"law professor specializing in health law, bioethics, gender & racial equity, assisted reproduction & repro justice; JD, MPH (chronic disease epi); she/her/hers"
1234634001329074177,"@SecPompeo Dear Secretary of State Pompeo, the Communist Party of China is expert at propaganda.",2020-03-03 00:17:38,"I yearn for America and the world.
anti-communist. only this."
1234634327553650688,"Israeli scientists are on the cusp of developing the first vaccine against the novel coronavirus, according to Scie… https://t.co/RvhJSrA3Np",2020-03-03 00:18:56,"‏‏‏‏aydin Jamalkhani Architecture &design  project managment & construction 
management &
مستقل بدون هیچ جناح و گروه دسته ایی،من عاشق انسان های مستقل دگر اندیش"
1234634047021776896,@PinkNews Corona Virus is homophobic,2020-03-03 00:17:49,|22| Hi I’m Sauce the Elf. I’m here to promote Gundam and laugh. if you want to kick back and enjoy mecha content then this is the place | Treize Faction 💫
1234634058791112704,"RT @AmandaPanda8309: “As President”? 🤷‍♀️🤷‍♀️🤷‍♀️ 

1. You’ll never be President!

2. Dang dude...we’d have to wait until January 2021 for…",2020-03-03 00:17:52,"Patriot, MAGA💕🇺🇸🔴🚂🇺🇸🇺🇸🇺🇸😉TRUMP 2020"
1234634551478996992,"RT @yumichild: Idea:

As an immediate response to Covid-19, @ScottMorrisonMP should release money to increase sick leave days for low-incom…",2020-03-03 00:19:50,"Emerging slowly, Climbs & Jogs, Reader+++, Nurse, Social justice animal, supports Uluru Statement."
1234634232984690691,"RT @Peoples_Pundit: President did not ""defund"" the CDC. But I guess @FoxNews, to include @BretBaier etc. just allow people to lie through t…",2020-03-03 00:18:34,
1234634508235952130,RT @JasonKander: MAKING PEOPLE PAY TO BE TESTED FOR A PANDEMIC IS DUMB,2020-03-03 00:19:39,she/her/hers || orlando || just trying to figure it out
1234634306053689344,RT @kakape: Don‘t think this is what WHO meant when they told the world to follow China‘s example on #covid19.,2020-03-03 00:18:51,"Founder of @scopesecurity_.  Previously Lookout, GE Healthcare, MAD Security & Hacker Academy. I try to make people think. He/Him"
1234634663588704256,"#China reports 125 new virus cases, lowest number since January 21 #CoronavirusOutbreak https://t.co/st0Mmvt9aq",2020-03-03 00:20:16,"Top News & More !! 
Freelance journalist #American_Party
#WeAreAmericans
#WeThePeople
#FitnessFanatic
#EaglesFan4Life
#Born2BleedGreen"
1234634344376999936,"RT @ViserionsEye: @JuddLegum ""New York City doctor says he has to ‘plead to test people’ for coronavirus""  https://t.co/4jl2rJ6QuT",2020-03-03 00:19:00,
1234634630696845312,"RT @BNODesk: NEW: China's National Health Commission reports 125 new cases of coronavirus and 31 new deaths, nearly all in Hubei province h…",2020-03-03 00:20:09,Latte sipping coastal liberal!
1234634122804461569,"RT @JoyAnnReid: With coronavirus we are discovering in real time what happens when an American president who has ""deconstructed the adminis…",2020-03-03 00:18:07,
1234634500677734402,"RT @charliekirk11: BOOM:

The DOW surged up nearly 1,300 points—the largest single day point gain in history

The media endlessly reported…",2020-03-03 00:19:38,Web Developer - CSM
1234634509028478976,"RT @Reuters: New York Gov. Andrew Cuomo, whose state has one confirmed coronavirus case, welcomed the CDC allowing New York to test for the…",2020-03-03 00:19:40,Colour preference changes with my mood 🤭 favourite food: anything I don’t have to cook. Lover of vintage. Can appreciate a good book #teamoffivemillion
1234634573083885569,So it took the stock market crashing to make Trump take the coronavirus seriously? Trump should have been holding m… https://t.co/o2ltyw5vOt,2020-03-03 00:19:55,"I am a proud American! 
#tiredofthehatethatTrumpcreates #lovecalifornia"
1234634651228155904,"RT @JuddLegum: BREAKING: The CDC has stopped disclosing the number of Americans tested for coronavirus. 

On the left is how the website lo…",2020-03-03 00:20:13,"RN, BSN. Facts Matter! Healthcare! Lyme disease is a pandemic! Animals. Music. Sports. Resist!"
1234634025295392770,"RT @Rosa_Red_: @imajsaclaimant Currently, NHS advice states people only need to self-isolate ""if advised to by the 111 online coronavirus s…",2020-03-03 00:17:44,
1234634373875617794,RT @drsanjaygupta: One #coronavirus question I get asked a lot: How dangerous is it? @CNN -- 1/20,2020-03-03 00:19:07,
1234634616838873089,"I learned to sing the ‘abc’ song to time washing my hands.  I learned it at the age of 38.  But given the method, I… https://t.co/qa2SsOsvbi",2020-03-03 00:20:05,TODO: create bio that is descriptive and witty.
1234634285681987584,"RT @nathanattrill: Using open-source public documents, satellite imagery, and media reports, @ASPI_org found 27 factories in nine provinces…",2020-03-03 00:18:46,"“That gov't is best which governs least”🇮🇹🇺🇸GrdPa, Dad, Husband. Agenda: Pro-Family, Pro-Police, Pro-Worker,100% Pro 🇺🇸, #Trump2020 #Patriot #GodBless🇺🇸"
1234634131507761153,RT @dbongino: The media in this country are an abomination. It’s a genuine shame that honest people with platforms have had to waste so muc…,2020-03-03 00:18:10,"Army Vet, RN, Defender of Freedom Liberty #Patriot #ProIsrael #1A #2A #AmericaFirst #MAGA #WWG1WGA ΜΟΛΩΝ ΛΑΒΕ #BackTheBlue #SaveOurChildren"
1234634273363124225,RT @WhiteHouse: President @realDonaldTrump gives an update on the coronavirus: https://t.co/1rtDjXaUgn,2020-03-03 00:18:43,Politics #MAGA #loveTrump #kag #jesussaves #QAnon #bestpresidentever45 #WWG1WGA #wakeupAmerica #transitiontogreatness #Americatogetherasone
1234634660581236736,RT @sacbee_news: UPDATE: One of the health care workers who treated a patient at a Solano County hospital has been diagnosed with coronavir…,2020-03-03 00:20:16,"Did you know that curiosity killed the cat? 
In recognizing the humanity of our fellow beings, we pay ourselves the highest tribute. ~Thurgood Marshall~"
