id,tweet,time,description
1221904558856790016,"AAFP president: Prepare your office for novel coronavirus https://t.co/XMAXMy5yml

Two confirmed cases of the novel… https://t.co/kFPkfxF8T3",2020-01-27 21:15:23,"The Wisconsin Academy of Family Physicians, a chapter of the @aafp, represents 2,900 family physicians, family medicine residents, and medical students."
1221910932718120960,RT @ABSCBNNews: EXCLUSIVE: San Lazaro Hospital confirms three Chinese were brought to the hospital after showing signs of flu. 2 of the 3 C…,2020-01-27 21:40:43,
1221913854919303168,"RT @JenessaAnnRosee: Ppl should take this seriously. 5 million ppl from Wuhan, China flew out before lock down &amp; countries are taking their…",2020-01-27 21:52:19,insta- jennylawtonn//cashapp- $jennylawton
1221915689956462592,"RT @lindsaytron9000: If coronavirus starts actively spreading in the states, the speed at which it travels will be wildly accelerated by ho…",2020-01-27 21:59:37,Geek
1221906783289081857,"RT @sabena_siddiqi: Pakistani students stuck in Wuhan, China request Pakistan government to bring them home.
There are 2000 Pakistani stude…",2020-01-27 21:24:13,"student of political science .A warrior of 5 generation war #محبت_مافیا 💯
@sumeraashraf7"
1221915103894888448,"RT @atiku: In 2014, Nigeria confronted and quashed the dreaded Ebola disease. The swift battle was won by careful screening and rapid isola…",2020-01-27 21:57:17,ROYALTY
1221914057206165504,RT @ClimateHuman: Humans should be FAR more worried about climate than coronavirus.,2020-01-27 21:53:07,"Born CO2 321.59 ppm Science education, environment, sustainability, refugee advocacy, and social equity. Living on Djiringanj country. Opinions my own."
1221906521858007041,RT @CNN: Sri Lanka reported its first case of the Wuhan coronavirus on Monday https://t.co/XY36tpkjub,2020-01-27 21:23:11,bi girl. love & respect for animals runs in my blood. ask & see what happens.  🏳️‍🌈 #resist #FuckTrump #BidenHarris2020
1221907753637036032,Asia Times | Crypto firms rush to help Wuhan virus victims | Article https://t.co/8nofOzRKvO,2020-01-27 21:28:05,"BLOWING THE TRUMPET!!
News + Articles Daily that show Signs we are in the End Times. IT'S TIME TO WAKE UP & ACCEPT JESUS CHRIST AS YOUR LORD & SAVIOR!"
1221911021767593987,"RT @MicrobesInfect: Scientists are moving at record speed to create new #coronavirus vaccines—but they may come too late.

""Nobody knows wh…",2020-01-27 21:41:04,"RT +/-automatique de certains hashtags.
@ EmmanuelMacron interdit la #weed = trafic et violence = discours stigmatisants = électeurs.
#FranceVerte #LegalizeIt,#"
