id,tweet,time,description
1219830574140911616,"RT @abc7newsbayarea: In a conference call disclosing details of this case, the CDC made an ominous warning - It expects additional cases in…",2020-01-22 03:54:06,What ever happened to brevity?
1219828468218781697,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…",2020-01-22 03:45:44,Floridian ☀️/👩🏼‍💻Founder of TWWOOGENUISES / Media & Content Strategist 🎬🎥📲/ RT are not endorsements
