id,tweet,time,description
1219815087008931841,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…,2020-01-22 02:52:34,"The world is not beautiful, therefore it is."
1219812759447183360,"RT @ABC: Washington Gov. Jay Inslee on first confirmed case of coronavirus reported in U.S.: ""The risk is low to residents of the state of…",2020-01-22 02:43:19,
