id,tweet,time,description
1220614358465761282,"RT @CNN: ""With the Wuhan coronavirus spreading across the country, killing at least 25 people so far, China is now facing a major test of j…",2020-01-24 07:48:35,"A Socialist for: NHS, ClientEarth, Climate protection, renewable energy and against wars, poverty, inequality, racism, factory farming + animal experimentation."
1220607436429713409,RT @nytimes: Maps: The Wuhan coronavirus has sickened more than 800 people in Asia and at least one person in the United States. We’ve trac…,2020-01-24 07:21:05,
1220612724956286977,"RT @cnni: The first person diagnosed with the Wuhan coronavirus in the US is being treated by a few medical workers and a robot.

The robot…",2020-01-24 07:42:06,.
1220612797777747968,"RT @avarakai: While India can help China, it should be super careful about taking in any infected ppl here. We just can't afford it.

Hope…",2020-01-24 07:42:23,
1220602948645838848,RT @RichardBarrow: Should we be worried about coronavirus in #Thailand? Yes and no. The chance of people getting the virus is low. Even tho…,2020-01-24 07:03:15,
1220607502301024258,"RT @CNN: ""With the Wuhan coronavirus spreading across the country, killing at least 25 people so far, China is now facing a major test of j…",2020-01-24 07:21:20,"https://t.co/3DmohJAy1Y 🇺🇸, a.k.a 🙏"
1220607068853481472,"RT @cnnphilippines: Close to 500 Chinese tourists who arrived in Kalibo, Aklan from the Chinese city where the novel coronavirus (2019-nCoV…",2020-01-24 07:19:37,
1220608458870808577,RT @anmf_federal: Important information for Primary and Community Healthcare Workers and Emergency Department staff from @healthgovau on th…,2020-01-24 07:25:09,"University of Newcastle,  #SeniorSmiles #Translational research. Aged Care - oral health advocate #oralhealthmatters. Opinions are all my own"
1220602594177036289,Patient with fever removes mask on female nurse and spits on her face in Wuhan hospital https://t.co/kaViHd1ctx,2020-01-24 07:01:50,"Leading English media in Hong Kong with up-to-the-minute breaking news, happenings and lifestyle updates."
1220612648267464706,"RT @ChuBailiang: Chased away from the Wuhan No. 5 Hospital, home to a statue of Norman Bethune, the Canadian doctor who assisted Communist…",2020-01-24 07:41:47,「スポーツなくして民主主義なし」みたいなことを理論化しようとしています。論理学／議論法がベースですが、言論空間におけるプレイヤー、審判、観客の構成や役割にも注目。ツイートは基本的に「自分用の記事等切り抜き＋備忘メモ」「他人に聞かれてもいい独り言」です。
1220610451932774401,"RT @avarakai: While India can help China, it should be super careful about taking in any infected ppl here. We just can't afford it.

Hope…",2020-01-24 07:33:04,मनुर्भव:- मनुष्य बन ।वेद। Trying to become an Arya (i.e. Shreshtha by karma). Believer in Rishi Samskruti (Vaidic) Staunch Arya Samaji. RTs not endorsements
1220605071223750656,RT @ChuBailiang: Families outside Hankou Hospital in Wuhan were in no mood for Lunar New Year festivities on Friday. There’s no holiday spi…,2020-01-24 07:11:41,
1220613380492292096,"RT @MothershipSG: Outrageous menu from Wuhan’s market shows live koalas, peacocks, wolf pups &amp; over 100 wild animals on sale https://t.co/6…",2020-01-24 07:44:42,my mom call me lové
1220612430969167872,"RT @paulhunghk1001: #WuhanCoronavirus
Excepted Tibet &amp; Qinghai,
ALL PROVINCES IN #CHINA ARE INFECTED! https://t.co/LNpE2rokKg",2020-01-24 07:40:56,"Maura Moynihan is an author, film producer and artist based in New York City.  She has worked for many years as a journalist and researcher in Asia"
1220608802577235970,"RT @badiucao: video from a Wuhan  hospital，patient collapes on the ground.

#WuhanPneumonia #wuhan

https://t.co/ogD2D2ZrJH",2020-01-24 07:26:31,รักคุณมินซอก ซาลาเปาน้อยของม๊ามี๊ 💕
1220616724455792640,"RT @boblister_poole: China coronavirus: Growing fears over virus as tests begin in Britain
Quarantine Travellers From China Before Its TOO…",2020-01-24 07:57:59,
1220611347492278274,RT @guardian: Wuhan: the city of 11 million at the heart of the coronavirus outbreak https://t.co/lbufmYJqG3,2020-01-24 07:36:37,
