id,tweet,time,description
1221447519122661376,"RT @eyekon131: A man from China is risking his life to spill the truth of the current situation of Wuhan, China in the middle of #Coronavir…",2020-01-26 14:59:16,"A friend of death, a brother of luck and a son of a bitch.
– on Gaunt"
1221442445742759938,RT @luqy92: Wuhan virus = God’s punishment for the mistreatment of uyghurs. https://t.co/Nh7m1YQ0W9,2020-01-26 14:39:07,confused and don’t care
1221447534675021824,RT @realAbikaTrader: US warns it can't evacuate ALL Americans from #coronavirus city #Wuhan https://t.co/IFEsTFbnWn,2020-01-26 14:59:20,Berserah menjemput takdir.
1221443268434546690,"RT @Woppa1Woppa: #HKPolice arrives to Fanling and says they are only clearing roadblock, understands the concern, and says the QC is fake n…",2020-01-26 14:42:23,
1221445041769418752,"RT @eyekon131: A man from China is risking his life to spill the truth of the current situation of Wuhan, China in the middle of #Coronavir…",2020-01-26 14:49:25,"Νεχ ποσσυμ τεχυμ ωιωερε, νεχ σινε τε."
1221447577868099587,"RT @cnnbrk: China says people can spread the deadly Wuhan coronavirus before they're symptomatic, calling into question US strategy to cont…",2020-01-26 14:59:30,"engineer, math, analyst, strategist, 💍 to 🚀rocket scientist +📉trader 🇳🇱🇹🇷🇺🇸 predicted 2020crash. RedPill💊 #KAG #Trump 👊🏻Freedom⭐️Liberty⭐️Truth"
1221447231561072640,"RT @eyekon131: A man from China is risking his life to spill the truth of the current situation of Wuhan, China in the middle of #Coronavir…",2020-01-26 14:58:08,Loving BTS is one of my favorite things in this world [fan account]
1221446267974213632,"RT @sriraecha: #CoronaOutbreak 

Not kpop related but please be informed that Wuhan Virus can show no symptoms. Oral transmission such as t…",2020-01-26 14:54:18,Too many fandoms || FKBU || ARMY 💜 || Obey Me! || Afterl!fe || Twisted Wonderland || she/her || 17
1221447540706426881,"RT @eyekon131: A man from China is risking his life to spill the truth of the current situation of Wuhan, China in the middle of #Coronavir…",2020-01-26 14:59:21,
1221447368333119489,"RT @mkhairulazri: 3. China tourists attitude - Hide their sickness to pass the airport screening, running away from hospitals.

4. There ar…",2020-01-26 14:58:40,“We are like the blood in our veins. We must flow without stopping. Keep the oxygen moving and your mind working”. - Kuroo Tetsurōu
1221443243113619456,"RT @QuickTake: Here’s how these medical workers spent #LunarNewYear Day in #Wuhan, China, the epicenter of the #CoronavirusOutbreak #corona…",2020-01-26 14:42:17,Silicon Industry THINK TANK
1221444778002468866,"RT @TheBlackChannel: Noticing this outbreak isn't being treated by white supremacists and western media the way they do Ebola.
It's not bei…",2020-01-26 14:48:23,"THE TRUTH SHALL SET YOU FREE. family man, never betrayed the badge. love speaking about or sharing black facts 365. Allahu arkbar"
1221443726930665473,"RT @faizalhamssin: Wuhan Flu is dangerous and all, but you know what’s also dangerous for Malaysia?

Our tendency to believe &amp; amplify fake…",2020-01-26 14:44:12,24y/o 🍃  🇲🇾
1221446343685591046,"Clinical features of patients infected with 2019 novel coronavirus in Wuhan, China - The Lancet

1/24付けthe Lancet
 https://t.co/Xf3Ok4uEyg",2020-01-26 14:54:36,🌞⛺️🏔🌳🍫🔭🌍△🔬⊿🐱🐰 ※通知はめんどくさいので切ってマース
