id,tweet,time,description
1251663864304975873,RT @ladygaga: It’s time! 😭🥰 our TV special One World: #TogetherAtHome starts right now 💗 celebrating those on the frontlines. Stream here o…,2020-04-19 00:08:14,"im here for gaga and lisa, and for gaga and lisa only"
1251664401767305217,"RT @AO1379: Some things to note: 30% of all cases already discharged, keeping this up will free up needed hospital space. Positive cases (i…",2020-04-19 00:10:22,•25/04/2012• Father ● Husband ● Strategic Thinker ●
1251664241884626945,"RT @SenJohnKennedy: Congress could pass clean #coronavirus relief bills . . . if Speaker Pelosi would agree to it. 

Right now, though, Dem…",2020-04-19 00:09:44,PRESIDENT TRUMP WILL MAKE AMERICA GREAT AGAIN‼️‼️‼️.  #WINNING #KAG #TrumpTrain ##NRA #MAGA #BUILDTHEWALL #DrainTheSwamp
1251664384738410504,RT @petluvers4Trump: #COVID19 has essentially done what everyone predicted Y2K would do...,2020-04-19 00:10:18,American!   #walkaway
1251663809703481351,"RT @RealCandaceO: I don’t know who needs to hear this but—my freedom doesn’t end where your fear begins. 

I invite you to stay inside and…",2020-04-19 00:08:01,Audio and digital engagement specialist for Salem Media Group.  Also show people how to get healthy for free.
1251663902846394370,"RT @RocWorldwide: Someone said ""I can blind fold this guy with shoe laces"" 😂🤭💀 https://t.co/VGByKMWnfx",2020-04-19 00:08:23,Don't Stop. #TravelBuddiesSA #GBVOneMillion
1251664049659686914,"RT @Daffodil27: .@JZarif, FM of #IslamicRepublicVirus claims sanctions affects medical supplies. At the the same time he’s extremely genero…",2020-04-19 00:08:58,دوباره میسازمت وطن... همراه شو عزیز، تنها نمان به درد ، کین درد مشترک هرگزجدا جدا درمان نمیشود... ورود عرزشی و مجاهد=بلاک
1251664295760465926,RT @AngelWarrior321: It’s not life sustaining if you are the fetus!!!!!    You are a disgrace to our country Ms Whitmer!     Michigan Gov.…,2020-04-19 00:09:57,
1251664171520757760,"RT @mikiebarb: He was a Fox News watcher who didn't think COVID-19 was a real thing. His kids did, warning him not to take an upcoming crui…",2020-04-19 00:09:27,
1251664460101672960,Whoever thought  id be part of a global pandemic,2020-04-19 00:10:36,CEO of EsEntrIc
1251663906658873344,RT @RealCandaceO: There is nothing more ironic than listening to those who want to stay locked inside forever because they believe #coronav…,2020-04-19 00:08:24,Retired
1251664360130437120,RT @ladygaga: It’s time! 😭🥰 our TV special One World: #TogetherAtHome starts right now 💗 celebrating those on the frontlines. Stream here o…,2020-04-19 00:10:12,"stanning L. Gaga since 2011, running the best gagallery - https://t.co/860fBfoJvu & @gagafacepl, also @cheryl__poland; personal: @kondrzej"
1251664313372176384,RT @ABC: Youth sports leagues are bracing for even bigger financial losses with no end in sight for the shutdown of activity because of the…,2020-04-19 00:10:01,For All English Users
1251664478183145472,Really interesting / scary #TheCurve this morning https://t.co/wlxhw0oZ2h,2020-04-19 00:10:41,"ABC political writer and commentator, author The Wife Drought, bickers with @leighsales on @Chat10Looks3, new Quarterly Essay ""Men At Work"" out now, see link:"
1251664229381271552,RT @Hope012015: Rick Wilson blisters Trump for inciting supporters to start a ‘COVID Civil War’ in order to cover his failures - https://t.…,2020-04-19 00:09:41,#BlackLivesMatter #BidenHarris2020 #VetsAgainstTrump #USNavyRetired #DisabledVeteran #VetsResistSquadron #LGTBQsupporter #AutismAwareness #StopFascism
1251664548127322112,"RT @DanBacher: As Navajo COVID-19 Cases Intensify, Jason Momoa Joins Efforts to Address Water Crisis #COVID19 #coronavirus #NavajoNation #C…",2020-04-19 00:10:57,"Investigative journalist focusing on fish, water and environmental issues. Editor, Fish Sniffer magazine"
1251664238487232512,RT @RealMikeBradley: HEARTWARMING: Woman being evacuated by helicopter does spins to honor healthcare workers around the globe battling COV…,2020-04-19 00:09:43,"Grow through, what you go through. 🌱"
1251664510953414662,RT @IngrahamAngle: Are Americans really going to stand for this? Where is the ACLU?,2020-04-19 00:10:48,
1251663847678709761,"RT @maddow: “There is no scenario, epidemiologists agreed, in which it is safe for that many people to suddenly come out of hiding. If Amer…",2020-04-19 00:08:10,
1251664259307712528,"RT @RepJeffries: Dear Cabinet Officials:

Today’s #coronavirus briefing went from bad to worse.

Deeply troubling. 

Some people are saying…",2020-04-19 00:09:48,"Every day of your life is a page of your history. drafted 1963, Vietnam Vet. USN Ret. husband (55 yrs), grandfather, HS teacher retired, Obama / Biden follower!"
1251664208741249026,"RT @GlblCtzn: ⭕️ We’re LIVE! @FallonTonight, @JimmyKimmelLive, and @StephenAtHome are kicking off One World: #TogetherAtHome in support of…",2020-04-19 00:09:36,"Those who can make you believe absurdities, can make you commit atrocities. I'd rather have a mind opened by wonder than one closed by belief. #Whovian #Atheist"
1251663910417154050,"RT @paul__johnson: -Still problems over testing 
-Still problems over PPE

-And now death toll of health and social care workers is 61",2020-04-19 00:08:25,
1251664158342316032,"RT @semperdiced: Hispanic Migrant tries to seek asylum but gets detained: “They should have followed the rules🤷🏻”

Unarmed Black Man gets s…",2020-04-19 00:09:24,"Former Spec Ed Teacher, wannabe amateur storyteller. Pro-intellectual, Pro-Choice, Pro-Equality. Voting Biden in 2020. Marvel, Star Wars, Philadelphia Eagles."
1251663939840036864,"RT @yestyday: “hit covid-19”
“go away”
you heard him https://t.co/zkmH4XsGBe",2020-04-19 00:08:32,😑
1251663994626195458,Jacksonville beach packed as Florida coronavirus cases hit record https://t.co/oJv5RXAqWF via @nypost,2020-04-19 00:08:45,"Psychologist interested in marriage, family and integration of faith. Father to two adults who keep him humble."
1251664032941170690,"RT @peterbakernyt: White House boasts that more than 3 million coronavirus tests have been conducted. ""That's barely 1% of the population t…",2020-04-19 00:08:54,"Adicto al color de tus ojos, Life is nothing but a dream, smile before u wake up ;)"
1251663839747280901,RT @mrjohnnyneal: CASTING HAS COMMENCED! Cannot wait to get filming this new series! We already have some amazingly talented individuals on…,2020-04-19 00:08:08,Management: @reddoormgmt | Actor | He/Him | Musician | Poet | Equality | Northerner | Views Are My Own | ALRA Grad 2020
1251664070685540353,"RT @RepJeffries: Dear Cabinet Officials:

Today’s #coronavirus briefing went from bad to worse.

Deeply troubling. 

Some people are saying…",2020-04-19 00:09:03,Progressive. INDEPENDENT. Medicare4All supporter! WEAR YOUR MASK! 😷 #Science #DumpTrump #TrumpVirus #25thAmendmentNOW
1251664141120450561,"RT @chartEXO9: 50 isolated students sang EXO's POWER, encouraging everyone to gain power and to stay positive.

We are very proud and thank…",2020-04-19 00:09:20,Fan Account Love U EXO
1251664292623114241,RT @ClouterSpace: Gorilla doing donuts in his enclosure in support of healthcare workers on the front line of the covid pandemic https://t.…,2020-04-19 00:09:56,Snapchat & Instagram: @CoffyCallipyge
1251664519656550401,RT @BillKristol: “...polling showing a declining approval rating for Trump among key groups and growing openness to supporting Biden in rec…,2020-04-19 00:10:50,
1251663940377026561,"Medal of Honor recipient Bennie Adkins loses battle with coronavirus at 86

https://t.co/AGv52j1J3M
RIP brother",2020-04-19 00:08:32,USMC
1251664095243374593,"RT @GavinNewsom: CA has procured nearly 11,000 rooms to protect our homeless population from #COVID19.

Today, we announced Motel 6 is sett…",2020-04-19 00:09:09,"Contemporary artist . creating new techniques with spray paint on canvas and passionate about drawing on paper and painting on linen, quality prints available:"
1251663978528456705,RT @brithume: Thread.,2020-04-19 00:08:41,🇺🇸👃
1251664041023426561,"RT @realDonaldTrump: Spending the morning speaking to @fema and Military relative to CoronaVirus. Also, spoke to leaders of various countri…",2020-04-19 00:08:56,Vietnam Vet not willing to accept Democrat Party's racist treatment of the urban African American communities.
1251664137685364736,"RT @Jamierodr14: Pelosi needs to worry about her own district instead Consumed with Hate towards President @realDonaldTrump all the time

H…",2020-04-19 00:09:19,"Truth Seeker, Ancient History, Justice to be Done, Fighter, Aussie FEMALE, Empath, Astrology, I Believe JFK jr lives, 
#DarkToLight 
 #WWG1WGA"
1251664371668967427,RT @SethAbramson: DISINFORMATION ALERT: Today Trump is spreading the dangerous disinformation that new daily coronavirus infections in the…,2020-04-19 00:10:15,"TRYING MY BEST TO HELP OTHERS. 
HIP/HOP & EDM JUNKIE. 
STILL SCOURING THE EARTH FOR THE PERFECT DJ SET."
1251663814266888193,RT @ClouterSpace: Gorilla doing donuts in his enclosure in support of healthcare workers on the front line of the covid pandemic,2020-04-19 00:08:02,Homme par les chiffres enfant par le cœur.
1251664603035156482,"RT @JoeBiden: The United States should be standing up for freedom and standing with the people of Hong Kong. Instead, Trump has said he's “…",2020-04-19 00:11:10,Register to Vote Check Voter Registration Request Ballot here https://t.co/b7XwcS1nQA                                        Register by Oct. 5th to vote in GA!
1251664560588800005,the more i see people capitalizing on corona the less i care,2020-04-19 00:11:00,"fuck 12, fuck trump, and fuck you too"
1251664443198640128,"@louise6692 People can wear masks outside for reasons other than COVID-19. 

I wear a mask every spring to mitigate… https://t.co/hk7szXCwKS",2020-04-19 00:10:32,"Librarian by choice, crab by circumstance. ♠️Mx. She/her/hers"
1251664070161334272,"RT @ddale8: As Trump proclaims the testing situation hunky-dory, here's what Republican Ohio Gov. Mike DeWine and his health chief said yes…",2020-04-19 00:09:03,
1251663893266497537,@WHO Hahahahaha why can’t I comment @WHO you blocked me cuz I can comment thru my moms acct 😂 losers https://t.co/LicUXCFVXU,2020-04-19 00:08:21,⭐️ ⭐️ ⭐️ #MAGA2020 🇺🇸
1251663952339230723,"RT @MarshallCohen: THE LOST MONTH: The White House says President Trump took ""strong action"" in February to stop the coronavirus pandemic.…",2020-04-19 00:08:35,"Proud father of amazing children, including a son with autism; teacher of 30 years; bilingual; no affiliation with either political party"
1251664157759475712,RT @ladygaga: Thank you Netherlands &amp; @hugodejonge for your support for a #COVID19 vaccine and to @WHO! Global citizens hope that the Nethe…,2020-04-19 00:09:24,"I Love @ladygaga. I'm a Little Monster Snapchat: gio.paulson 👻 
Instagram: Gio_Monster"
1251664104370188288,"RT @mgoldstein1234: Only 200 people showed up in Austin,  TX to protest the pandemic closures.  That's good, since there are 30M folks in T…",2020-04-19 00:09:11,"#Ω ½ human ½ bot who retweets #RESIST related hashtags every few minutes. #VetsResist #FBR ✊🏾⚖️♎️🏳️‍🌈
👉Follow me @R35i5T👈"
1251664513822347265,"RETWEET IF you need me to Uber this meat to you... 

Want the full clip? 

👉🏽💰Cashapp: $hungbbc12
👉🏽💵Venmo : bbcNso… https://t.co/d8aYmjO4nj",2020-04-19 00:10:49,18+ ONLY! #Kinkyisland #kinkyville | https://t.co/qZOMo5OKnd | https://t.co/3pn58RQfB6
1251664519123931141,"RT @RBReich: The Navajo Nation has lost more to coronavirus than 13 states.

This is a national outrage.",2020-04-19 00:10:50,Disclaimer: I love cats & funny stuff; #StillWithHer; #Resist Group adds=u get blocked.
1251663855933108226,"RT @cjwerleman: Wherever you look, Muslims are leading the way in COVID-19 related charitable drives.

https://t.co/AwmOpzWApk",2020-04-19 00:08:12,
1251663802279444480,RT @Delicious_Tacos: If I get corona and lose smell/ taste I will eat ass,2020-04-19 00:07:59,🥋📈
1251664241884626944,RT @giles_fraser: When this terrible virus appeared I knew I had to seriously address my diabetes. Since lockdown no carbs and I have now l…,2020-04-19 00:09:44,
1251663986786996230,RT @gtconway3d: we need to ramp up IQ testing,2020-04-19 00:08:43,
1251663865085116419,@IngrahamAngle They also told us not to compare “Covid” to SARS. Why is that?,2020-04-19 00:08:14,"MBA in Business Leadership. Part of the blue wave. Anything golf, basketball, Notre Dame football."
1251664493492547586,"RT @alliancereview: Coronavirus illnesses continued to climb across Ohio on Saturday as total cases surpassed the 10,000 threshold with 451…",2020-04-19 00:10:44,"Dad, husband, chair of @OHDems , ""one of the best political-thriller writers on the scene"" -- latest is THE VOTER FILE (June 2, 2020) https://t.co/15TzjH3vPN"
