id,tweet,time,description
1263096463514624001,RT @marc_lotter: Come on man... Seriously? 🤦,2020-05-20 13:17:18,Old laid back conservative surfer boy & dog lover
1263096133028425728,@jvnaidoo1 They should privatise Eskom and flatten that curve permanently. They got it again in the end. https://t.co/rz44tcuoFh,2020-05-20 13:15:59,
1263096430811463680,RT @realDonaldTrump: Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hu…,2020-05-20 13:17:10,Legal Immigrant who loves this country.
1263095673911640064,RT @realDonaldTrump: Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hu…,2020-05-20 13:14:10,it’s delicate.
1263096060890828800,"RT @JoyceWhiteVance: @vanitaguptaCR @Twitter Compare to Alabama: voters must obtain an absentee ballot application, mail it in along with a…",2020-05-20 13:15:42,"MG/YA author of historical adventures! I'm a pet lover, mustang owner, as in horse, and geek girl. I post pics of pets and flowers."
1263096232853024768,RT @washingtonpost: Analysis: The pandemic may forever change the world’s cities https://t.co/Xl6AE9pA2D,2020-05-20 13:16:23,"Nänä, Mom, Foodie,💃🏾,🎼🎶Lover, Blocking all #MAGA's,#TruthMatters,#RESISTER,#LivingWage, #SinglePayerHC,#IMPOTUSForLife.#FTBS,🚫🤡StumblebumsAllowed!"
1263096270287036418,RT @realDonaldTrump: Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hu…,2020-05-20 13:16:32,
1263096370837237760,RT @realDonaldTrump: Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hu…,2020-05-20 13:16:56,"Trump. Blue Lives Matter
It was  a COUP.   
Love America
Red Pilled. Americans
don't whine"
1263096300498714624,RT @LarryPotash: Florida's scientist was fired for refusing to 'manipulate' COVID-19 data https://t.co/SdX3nZT3ey via @usatoday,2020-05-20 13:16:39,
1263096375396438016,RT @SheaSerrano: the people who are okay with putting kids in cages at the border because “their parents should’ve just followed the rules”…,2020-05-20 13:16:57,Turks Island Dominican x Mom of 2 x Autism Mom x Event Stylist x Graphic Designer - IG fiesta_tci x Boutique Owner - IG shopmaribella_tci
1263096329804361729,RT @realDonaldTrump: Some wacko in China just released a statement blaming everybody other than China for the Virus which has now killed hu…,2020-05-20 13:16:46,
