id,tweet,time,description
1270280204775124993,"RT @JoanieReb: @snarky_op YES!
Have you seen what's happening in Arizona?
https://t.co/LckmZ2BT4O",2020-06-09 09:02:56,"COUNTRY B4 PARTY(OR PERSON)⚖️
Russian-Orthodox-Democratic-Mom-#Utah.
PRINCIPLES. KINDNESS. WISDOM.
👓FOR-POL/NALT-SEC-POL
#BlackLivesMatter🥺#TakeAKnee🥺"
1270279520109592576,Thank you. I would add #Abstain https://t.co/eiMmurNsl6,2020-06-09 09:00:12,Christian | Lover Of Christ | Lawyer | Leader | Events Emcee | Farmer | Fellow & Legal Advisor @DWatchCentre|  https://t.co/nwu39Fd2C3
1270279719527895042,RT @supremesparkle: Why is @Helen_Whately A Gov minister? Absolutely shocking! Definitely been briefed PIN IT on the scientists. She keeps…,2020-06-09 09:01:00,Just waiting for F1 to start in Melbourne follow @fifthdriver @jensonbutton still walk the dog but will not buy @rupertmurdoch 's Sky will watch F1 on @C4F1 onl
1270279691866431493,WHO Lists Diseases That Cause COVID-19 Deaths - #jiji #Nigeria https://t.co/1NhUIsIRu0 https://t.co/LmcvlEMC2r,2020-06-09 09:00:53,Nigerian Free Classified. Post your ad for free or buy whatever you like in a moment. Real people - real deals. Show us love - like and retweet :)
1270280003989708800,"Register at https://t.co/VAzULLU9bi
The Only Social Network for Migrants.
#Immigration, #Migration, #Mignation
---… https://t.co/8KwyyVHAhe",2020-06-09 09:02:08,"I tweet about development.
https://t.co/1adaXzitTp"
1270279678037643264,I don't understand why doesn't @WHO talk about poverty on World Mental Health Day because ultimately the poor is ju… https://t.co/v5ZA2sJPad,2020-06-09 09:00:50,
1270280135279890432,"RT @KayBurley: Me: ""You can't stick this on the scientists.""

Health Minister @Helen_Whately: ""Well I can."" 

The minister quickly backtrac…",2020-06-09 09:02:39,"Composer of musicals: @cleomusical, @DoSMusical1, @JuniperMusical Hansel and Gretel. Welsh guy in London... I like musicals, ALW, eurovision and beauty blogs"
1270279458898030592,"RT @QuickTake: Biden says Trump ""inherited the longest economic expansion in history from the Obama-Biden administration"" and ""squandered i…",2020-06-09 08:59:58,https://t.co/M0KDhi2fCT https://t.co/m1maYgyMGO https://t.co/NmXOTUfG4g
1270279790533238785,RT @QAAtweets: There is still time to sign up to our webinar tomorrow with @UNNCHome sharing their experience of reopening their campus:,2020-06-09 09:01:17,#history #active_learning #pedagogy esp. #EdTech #digilit #twitterstorians @ULHistory @unilincoln originally funded by HEA (@AdvanceHE) tweets by @woodjamie99
1270280101410848768,#BUSINESSGRANTS | Sefton Council has just announced its plans to administer the Discretionary Business Grant Fund a… https://t.co/0DD65rn5qL,2020-06-09 09:02:31,"Working in partnership to make a difference to the future of Southport 

Follow our campaign for independent business @southportindies"
1270280187524022275,"RT @BethRigby: Awkward exchange between @kayBurley and @Helen_Whately. On care home deaths, care minister says ‘I can’ [stick this on the s…",2020-06-09 09:02:52,
1270279955927220224,"Lockdown, working from home and isolation have had a big impact on our mental health, so why not try the mental hea… https://t.co/D77xR4pBkS",2020-06-09 09:01:56,QMS provides professional consultancy and support services to organisations seeking a hassle-free and cost-effective route to ISO Certification.
1270279532457545729,"For everyone who start riding bike in this corona time, please keep that energy even after the pandemic is over.",2020-06-09 09:00:15,So sweet then I get a little angry / Matthew 19:21
1270279651995181056,"My visit is due with Dr c s aggarwal at gangaram hospital but due to lock down, I cant come so I asked for appointm… https://t.co/kwwsjZ42PH",2020-06-09 09:00:44,Bijendra kumar
1270279832635617280,@stand_withSyria @simondolan Of course there is. Track and trace- the new normal-the social credit system based on… https://t.co/WJ1pEVwYr3,2020-06-09 09:01:27,I love reading books and would eventually like to write one of my own. I also like doing lots of arty things too.
1270280229911769095,"RT @AfzanAfzann: Another 67 persons recover from #COVID19 after medical treatment. Total recoveries in #SriLanka rise to 1,057.

#coronavir…",2020-06-09 09:03:02,"Just doing my job ma'am!! Moniters #sumane #lka #bloodneeds 
RTs are not my endorsement. Nor my Creator's. Dare ask me who that is! DM to Report Spam."
1270279825572474881,"RT @OilGasCanada: Oil and natural gas – and Canada’s economic recovery.

As one of Canada’s largest industries, oil and natural gas are key…",2020-06-09 09:01:25,🇻🇪 𝟮𝟬𝟮𝟬 | FB Aileen Oropeza II | BE YOU • ES VIDA | Contacto +584243757624
