id,tweet,time,description
1271004390564999174,"RT @AndrewKnight226: I hate to share the Express.... But this is too good 😂

https://t.co/Q3JufmtdEK",2020-06-11 09:00:35,"Freelance Writer, Lecturer, Broadcaster. TV pundit on Middle East and North Africa (MENA). Chair, Liberal Democrats’ Federal International Relations Committee."
1271004836486660098,RT @JamesMelville: Please retweet if you think that the UK government should extend the Brexit transition period by two years until Decembe…,2020-06-11 09:02:21,Sustainable energy and community development professional. Welsh and European.
1271004439558664194,"The Tory masterplan to cull our most vulnerable members of society will not work if shielding continues.
We must co… https://t.co/b6IYpyNhb7",2020-06-11 09:00:47,Winner of Dec 2015 Airdrie Labour Party pass the parcel competition. Surprise entry in the 2017 Scottish Labour poisoned chalice competition. Parody account.
1271004406532771845,"RT @wisheart12: As Greece with 183 total deaths opens up to holidaymakers,the UK is viewed with incredulity &amp; foreboding as the full horror…",2020-06-11 09:00:39,"#BlockDontBicker Liberté, égalité, fraternité Views expressed are my own,not always fact checked. Depression/Anxiety sucks. NO LISTS PLEASE."
1271004846582194176,RT @Sir_Loin67: Isn’t he the one who went off to shag his married mistress and all the predictions he’s ever made have been over estimated…,2020-06-11 09:02:24,"Football and observations of passing life. Sarcastic, witty and a little moody but usually go through life laughing. Hull City"
1271004704487559168,This is that mutt that ran her mouth off about Ben Roberts-Smith vc https://t.co/KKdyfDyaly,2020-06-11 09:01:50,"combat veteran. just an Aussie battler having a go. I’m here getting shit done. you got to fight, for your right...... to parrrrrrrty"
1271004509658120198,"Ever wonder why the countries with tin pot dumb shit populist leaders are doing so badly with Covid-19? 🤔

🇺🇸.… https://t.co/rSAfW0wim2",2020-06-11 09:01:03,Sincerely trying to make sense of this world
1271004362089861121,Our Year 2 Media students have been working on a number of photography challenges whilst at home over the lockdown… https://t.co/B2TIdXYa65,2020-06-11 09:00:28,We are a further education college giving students the tools they need to #TakeOnTheWorld! Campuses in St Albans and Welwyn Garden City.
1271004662079111168,@globalhlthtwit So therefore how is the g'ment 'following the evidence'? Now we're in another place on the covid-19… https://t.co/PbPesLnFKv,2020-06-11 09:01:40,"Consultant in Public Health, husband to Sarah, dad to Jacob and Abigail. Lifecentral Church! Live well, stay active #publichealth. Views my own"
1271004872268222465,"Fix the unemployment system. pay people money they need. 
We will remember what you didn't do.
Acting like the Coro… https://t.co/xM3y7Ys4bv",2020-06-11 09:02:30,
