id,tweet,time,description
1277346485957545984,"@Digbylj Devolved power has to be ended. If we learned nothing else during lockdown, we learned that devolved power… https://t.co/dyZSEGOB4Z",2020-06-28 21:01:48,Pocklington rugby and Algarve tennis. See you at Percy Road or in Ferragudo. Graduate from University of Life. Views my own. Love Uber.
1277346602626187265,RT @ztsamudzi: Sorry but who is “we”? Are you referring to the capitalist class forcing people back to work because they refuse to give ade…,2020-06-28 21:02:16,Writer. Politics. Immigrant. Latinx. DACA. Intersectional Feminist. #BlackLivesMatter ✊🏿
1277346469117337601,"Also a restaurant worker. Please continue to come, but take appropriate COVID precautions, follow restaurant rules,… https://t.co/j6PTTOHsod",2020-06-28 21:01:44,what’s uuuuppp. (she/her)
1277346343397339136,"RT @RandiWYoung: So my uncle, who's 74yo, has COPD, and has survived 2yrs of chemo, is now at DRMC in Greenville, MS with COVID-19. He's on…",2020-06-28 21:01:14,"BLACK LIVES MATTER. 

You can call me Sasu
(Commissions are not open while i am working on my current commission list, ty)
DO NOT REPOST MY WORK"
1277346671353970688,RT @SebastianWolff: @CaseyExplosion @FredrikHathen I started playing The Last of Us and was laugh-crying at the mention of a global lockdow…,2020-06-28 21:02:33,"Game music rights expert, CEO/founder @materiamusic / @materiacoll 💙, prev. co-founder Loudr (acq. Spotify), investor, not a lawyer, he/him 🌈"
1277346629855608834,RT @Acosta: First on CNN: The Lincoln Project’s new ad slams Trump over coronavirus deaths hitting the 'Greatest Generation...' https://t.c…,2020-06-28 21:02:23,"feminist, children’s rights advocate (aka school psychologist). Strong believer in Democracy, justice, truth, kindness. Have 0 tolerance for bullying/mean ppl."
1277346540013715458,Anyone have stats on how Texas youth are being impacted economically by the pandemic and economic recession?,2020-06-28 21:02:01,Democracy and self-determination along the Tx-Mexico border. Comms Coordinator for @LUPE_rgv. He/Him/Él. Tweets my own.
1277346075943165952,"RT @jackmjenkins: Again: Multiple COVID-19 outbreaks in multiple countries have been traced to in-person, indoor worship services.

Group s…",2020-06-28 21:00:11,"Speech-Language Pathologist: Voice Specialist. Opera Stage Director. Blazer Fan. A citizen's right to vote is fundamental to our democracy.
Horses, hiking, etc."
1277346579041550336,I have to keto my partners spirits up everyday after dealing with people like this for months. Mask up or stay home. https://t.co/x3GW3r2Ypc,2020-06-28 21:02:11,"Caprice Conley. Producer of @highandoutmovie Featured photographer. I make movies, I tell stories, I take pictures."
1277346323197558786,"RT @charlesjaco1: We have 127,000 dead &amp; millions infected b/c of COVID, *and* b/c of a yowling selfish minority led by Trump, GOP governor…",2020-06-28 21:01:10,"PhD-Public Policy (TertiaryEdu); MA-Philosophy (of Mind); 40+ States & 30+ Countries. Philosophy, Politics, Policy, Organizations, Education, Food & Music."
