id,tweet,time,description
1230085833819951104,RT @dolphinangels1: 29/12/2019 #China #Liaoning #Dalian #SunAsia #OceanWorld: recklessness &amp; improper handling of the aquarium - captive ve…,2020-02-19 11:04:51,
1230085640605270019,RT @peytnhaag: i just overheard this little white girl in starbucks say “china has too many ppl anyways what’s so bad about coronavirus” an…,2020-02-19 11:04:05,High on nasal spray 🤙🏻
1230099303181488128,"RT @CNN: A study has found that the novel coronavirus is more contagious than the related viruses which cause SARS and MERS.

While Covid-1…",2020-02-19 11:58:22,"Love for Architecture and Interior Design.

Involved in politics, because, I believe in democracy."
1230085589321551873,RT @va_shiva: Did CHINA unleash #BioMediaWarfare on its OWN PEOPLE to CRUSH the Health &amp; Freedom Movements in Hong Kong &amp; Wuhan? https://t.…,2020-02-19 11:03:53,Teacher
1230085007605141504,"RT @bennetowuonda: #CoronaVirusKenya
Called 'Wuhan-400’ because it was developed at their RDNA labs outside of the city of
Wuhan, and it w…",2020-02-19 11:01:34,"A father who has a great passion for the environment, gamer, football enthusiast, crusader for preservation of human dignity and a global political analyst."
1230086146744627201,"RT @jenssen_jonas: Do you won't want to eat anything made in #China again...
#coronavirus
https://t.co/jwE17NlULV
quote twitter",2020-02-19 11:06:05,"🤠Freelance journalist . Football supporter. It is good to warm yourself in someone else's glow.
I don't answer emails, I don't have time...."
1230086065928667136,RT @RedNationRising: Many leading Chinese scientists are starting to speak out and say COVID-19 (coronavirus) originated at a government bi…,2020-02-19 11:05:46,"NYC - Cuomo, Deblasio & AOC - Are you kidding ? - The City that I love has been decimated - back to days of Son of Sam -Time to get out of Dodge - Trump 2020"
1230084712682549248,RT @peytnhaag: i just overheard this little white girl in starbucks say “china has too many ppl anyways what’s so bad about coronavirus” an…,2020-02-19 11:00:24,4teen
1230099346781278209,"RT @thecableng: EXTRA: I strongly believe #coronavirus is caused by corruption, says #Magu https://t.co/Ao8mlTOWPa via @thecableng https://…",2020-02-19 11:58:33,In all that matters to me GOD first. Am fighting for Freedom Justice Equity & Fairness for my beautiful land BIAFRA
1230084694320013312,@SexCounseling @realDonaldTrump You are so cute！Please see if your appliance is manufactured in China and throw the… https://t.co/Nd1VrsLkP8,2020-02-19 11:00:19,"Hi,I'm Kevin Stig."
1230085289168625664,#Sanofi #Pasteur said it will #leverage its previous #development #work for a #SARS #vaccine to #develop a… https://t.co/TJTFzuiVl7,2020-02-19 11:02:41,We are a focussed brokerage firm offering a wide range of services. Follow us for interesting news & insights & be an informed investor!
1230099348446437376,"RT @business: Coronavirus death toll exceeds 2,000, China considers economic support measures and Fed minutes are due

Five things you need…",2020-02-19 11:58:33,"NewsAffinity - Latest Top Stories, Blockchain and Technology News"
1230099305127698432,RT @Splash_247: Coronavirus supply chain headaches spread as more than one in two Asia – North Europe sailings are cancelled https://t.co/O…,2020-02-19 11:58:23,"We offer cost effective and efficient procurement for deck, interior, galley and engine room requirements."
1230086136090882049,"RT @JustinTWJ: Total cases: 22 
Total recovered: 15 
Total still receiving treatment: 7 

KKM is doing a phenomenal job. And the govt is ma…",2020-02-19 11:06:03,more issues than vogue-
