id,tweet,time,description
1224982670087602176,"PCB makers with manufacturing plants in China's Hubei province, the epicenter of the coronavirus outbreak, are gear… https://t.co/Z61zj2pdRQ",2020-02-05 09:06:42,気になったニュースや決算説明会動画の概況をツイログに記録していくためだけに作った垢です
1224981221114933248,https://t.co/Tujmlnb4ph (LV.8) Coronavirus Latest Updates: Everything You Need to Know | Time https://t.co/Ayuans2fhj,2020-02-05 09:00:56,英単語リスト自動作成botです。
1224981821051547648,Seen a few people mention the high percentage of Asian males with the #coronavirus A quick Google seems to link ele… https://t.co/R1TjKHieEn,2020-02-05 09:03:19,#Golang #C #Python #Kotlin Mined #bitcoin from 2010 to 2014. #ClayShooter
1224982182625607681,RT @STcom: Coronavirus: Malaysia confirms 2 new cases to bring total to 12; a suspected case at KLCC https://t.co/PHgjWxAKLw,2020-02-05 09:04:46,Twenty Nine | Lover to my husband
1224982619328303104,"RT @cnni: A cruise ship in Japan is currently under quarantine with 3,700 people on board, after a former passenger was found to be infecte…",2020-02-05 09:06:30,"Jesus lover- Wife- mother- sister- Aunty- friend- book addict- Optometrist-
UoL public health professional- low vision specialist"
1224982724995235841,RT @Gloria35489157: @fary6727 @aamir_abbas12 To be honest we Chinese people are also angry with those who traveling around at this time. We…,2020-02-05 09:06:55,Lowlife responses =instant block and a voodoo doll in your likeness.
1224981733742764033,"RT @DeanHareethhh: Prophet Muhammad S.A.W would be proud 🤲 Peace be upon him.

Well done Turkey 🇹🇷",2020-02-05 09:02:59,fragile as always!
1224982482006601728,10 people on cruise ship quarantined in Japan infected with coronavirus https://t.co/TiWo7iap8C,2020-02-05 09:05:57,滋賀でトラックドライバーやってます 様々な荷物を いろんな場所に 時間指定に遅れることなく 意味不明な挙動不審な車を避け 日々 頭を使い 悩みながらも 楽しんで 毎日毎日 ハンドル握ってます ^o^ TruckDriverLife
1224982433260560384,Trump says US is ‘working closely’ with China on outbreak https://t.co/bNFgYvRkmP https://t.co/66xbpYXAAO,2020-02-05 09:05:45,Your #1 source for the most littiest Content. -Social News -Entertainment News -Trending News FOLLOW US🔥
1224981133625946112,"RT @DeanHareethhh: Prophet Muhammad S.A.W would be proud 🤲 Peace be upon him.

Well done Turkey 🇹🇷",2020-02-05 09:00:35,caffeine + nicotine ☕🚬
